participant_id,file_path,original_shape,shape_3d,is_4d,voxel_size,shape_ok,voxel_ok,affine_ok,max_affine_diff,max_voxel_diff,needs_resampling
sub-30,D:\fmri\fmri_output1\sub-30\func\sub-30_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-52,D:\fmri\fmri_output1\sub-52\func\sub-52_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-53,D:\fmri\fmri_output1\sub-53\func\sub-53_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-54,D:\fmri\fmri_output1\sub-54\func\sub-54_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-55,D:\fmri\fmri_output1\sub-55\func\sub-55_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-56,D:\fmri\fmri_output1\sub-56\func\sub-56_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-57,D:\fmri\fmri_output1\sub-57\func\sub-57_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-58,D:\fmri\fmri_output1\sub-58\func\sub-58_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-59,D:\fmri\fmri_output1\sub-59\func\sub-59_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-60,D:\fmri\fmri_output1\sub-60\func\sub-60_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-61,D:\fmri\fmri_output1\sub-61\func\sub-61_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-62,D:\fmri\fmri_output1\sub-62\func\sub-62_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-63,D:\fmri\fmri_output1\sub-63\func\sub-63_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-64,D:\fmri\fmri_output1\sub-64\func\sub-64_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-65,D:\fmri\fmri_output1\sub-65\func\sub-65_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-66,D:\fmri\fmri_output1\sub-66\func\sub-66_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-67,D:\fmri\fmri_output1\sub-67\func\sub-67_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-68,D:\fmri\fmri_output1\sub-68\func\sub-68_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-69,D:\fmri\fmri_output1\sub-69\func\sub-69_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-70,D:\fmri\fmri_output1\sub-70\func\sub-70_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-71,D:\fmri\fmri_output1\sub-71\func\sub-71_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-72,D:\fmri\fmri_output1\sub-72\func\sub-72_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
